orderid,customerid,employeeid,employee,orderdate,orderyear,duedate,shippeddate,saleamount,productid,unitprice,quantity,percentdiscount
10248,VINET,5,Steven Buchanan,7/4/19,2019,8/1/19,7/16/19,168,11,14,12,0
10248,VINET,5,Steven Buchanan,7/4/19,2019,8/1/19,7/16/19,98,42,9.8,10,0
10248,VINET,5,Steven Buchanan,7/4/19,2019,8/1/19,7/16/19,174,72,34.8,5,0
10249,TOMSP,6,Michael Suyama,7/5/19,2019,8/16/19,7/10/19,167.4,14,18.6,9,0
10249,TOMSP,6,Michael Suyama,7/5/19,2019,8/16/19,7/10/19,1696,51,42.4,40,0
10250,HANAR,4,Margaret Peacock,7/8/19,2019,8/5/19,7/12/19,77,41,7.7,10,0
10250,HANAR,4,Margaret Peacock,7/8/19,2019,8/5/19,7/12/19,1484,51,42.4,35,15
10250,HANAR,4,Margaret Peacock,7/8/19,2019,8/5/19,7/12/19,252,65,16.8,15,15
10251,VICTE,3,Janet Leverling,7/8/19,2019,8/5/19,7/15/19,100.8,22,16.8,6,5
10251,VICTE,3,Janet Leverling,7/8/19,2019,8/5/19,7/15/19,234,57,15.6,15,5
10251,VICTE,3,Janet Leverling,7/8/19,2019,8/5/19,7/15/19,336,65,16.8,20,0
10252,SUPRD,4,Margaret Peacock,7/9/19,2019,8/6/19,7/11/19,2592,20,64.8,40,5
10252,SUPRD,4,Margaret Peacock,7/9/19,2019,8/6/19,7/11/19,50,33,2,25,5
10252,SUPRD,4,Margaret Peacock,7/9/19,2019,8/6/19,7/11/19,1088,60,27.2,40,0
10253,HANAR,3,Janet Leverling,7/10/19,2019,7/24/19,7/16/19,200,31,10,20,0
10253,HANAR,3,Janet Leverling,7/10/19,2019,7/24/19,7/16/19,604.8,39,14.4,42,0
10253,HANAR,3,Janet Leverling,7/10/19,2019,7/24/19,7/16/19,640,49,16,40,0
10254,CHOPS,5,Steven Buchanan,7/11/19,2019,8/8/19,7/23/19,54,24,3.6,15,15
10254,CHOPS,5,Steven Buchanan,7/11/19,2019,8/8/19,7/23/19,403.2,55,19.2,21,15
10254,CHOPS,5,Steven Buchanan,7/11/19,2019,8/8/19,7/23/19,168,74,8,21,0
10255,RICSU,9,Anne Dodsworth,7/12/19,2019,8/9/19,7/15/19,304,2,15.2,20,0
10255,RICSU,9,Anne Dodsworth,7/12/19,2019,8/9/19,7/15/19,486.5,16,13.9,35,0
10255,RICSU,9,Anne Dodsworth,7/12/19,2019,8/9/19,7/15/19,380,36,15.2,25,0
10255,RICSU,9,Anne Dodsworth,7/12/19,2019,8/9/19,7/15/19,1320,59,44,30,0
